IDNUMBER	structure	fmla structure	mol weight structure	nHA	nHD	CLogP	nRB	nRings	PSA	compound_name	Saltdata	inchikey	smiles	ID	inchi	Source1536wWell	volume [nL]	well_location	plate_id
P1305818		C25H24N2O3	400.48163	3	1	4.6	7	4	54.6	N-[1H-indol-3-yl(phenyl)methyl]-2-(4-methoxyphenoxy)-N-methyl-acetamide		FDZVQRWWWPSSRY-UHFFFAOYSA-N	COc1ccc(OCC(=O)N(C)C(c2ccccc2)c3c[nH]c4ccccc34)cc1	626	InChI=1S/C25H24N2O3/c1-27(24(28)17-30-20-14-12-19(29-2)13-15-20)25(18-8-4-3-5-9-18)22-16-26-23-11-7-6-10-21(22)23/h3-16,25-26H,17H2,1-2H3	F8	100	B3	Peptide01
P1157907		C17H22N4O6	378.38809	6	5	0.8	9	2	155.8	rac-(2S)-2-[(4,7-dimethoxy-1H-indole-2-carbonyl)amino]-5-ureido-pentanoic acid		UPZJJOCQKSTUDK-JTQLQIEISA-N	COc1ccc(OC)c2[nH]c(cc12)C(=O)N[C@@H](CCCNC(=O)N)C(=O)O	370	InChI=1S/C17H22N4O6/c1-26-12-5-6-13(27-2)14-9(12)8-11(20-14)15(22)21-10(16(23)24)4-3-7-19-17(18)25/h5-6,8,10,20H,3-4,7H2,1-2H3,(H,21,22)(H,23,24)(H3,18,19,25)/t10-/m0/s1	F9	100	B3	Peptide01
P2195421		C18H26N2O5	350.41832	5	2	1.8	10	1	93.7	methyl 2-[3-[(3-methoxybenzoyl)amino]propanoylamino]-4-methyl-pentanoate		GUJVMONLGYYCTD-UHFFFAOYSA-N	COC(=O)C(CC(C)C)NC(=O)CCNC(=O)c1cccc(OC)c1	458	InChI=1S/C18H26N2O5/c1-12(2)10-15(18(23)25-4)20-16(21)8-9-19-17(22)13-6-5-7-14(11-13)24-3/h5-7,11-12,15H,8-10H2,1-4H3,(H,19,22)(H,20,21)	F10	100	B4	Peptide01
P4357593		C23H17N3O3	383.41024	5	1	4.2	5	5	80.3	5-(1,3-benzodioxol-5-ylmethylamino)-2-(1-naphthylmethyl)oxazole-4-carbonitrile		LMKAUGIOPZPMFU-UHFFFAOYSA-N	N#Cc1nc(Cc2cccc3ccccc23)oc1NCc4ccc5OCOc5c4	546	InChI=1S/C23H17N3O3/c24-12-19-23(25-13-15-8-9-20-21(10-15)28-14-27-20)29-22(26-19)11-17-6-3-5-16-4-1-2-7-18(16)17/h1-10,25H,11,13-14H2	F11	100	B4	Peptide01
P1307961		C28H30N2O5	474.5617	5	1	5.0	9	4	73.0	N-ethyl-N-[1H-indol-3-yl-(4-methoxyphenyl)methyl]-3,4,5-trimethoxy-benzamide		FRMCNBGGGNBARQ-UHFFFAOYSA-N	CCN(C(c1ccc(OC)cc1)c2c[nH]c3ccccc23)C(=O)c4cc(OC)c(OC)c(OC)c4	634	InChI=1S/C28H30N2O5/c1-6-30(28(31)19-15-24(33-3)27(35-5)25(16-19)34-4)26(18-11-13-20(32-2)14-12-18)22-17-29-23-10-8-7-9-21(22)23/h7-17,26,29H,6H2,1-5H3	F12	100	B4	Peptide01
P11185428		C24H24N4O4	432.48328	5	4	3.4	8	4	120.1	rac-(2S)-3-(1H-indol-3-yl)-2-[[2-[3-(4-methoxyphenyl)-5-methyl-1H-pyrazol-4-yl]acetyl]amino]propanoic acid		DSQWDBHAFHLYDC-NRFANRHFSA-N	COc1ccc(cc1)c2n[nH]c(C)c2CC(=O)N[C@@H](Cc3c[nH]c4ccccc34)C(=O)O	378	InChI=1S/C24H24N4O4/c1-14-19(23(28-27-14)15-7-9-17(32-2)10-8-15)12-22(29)26-21(24(30)31)11-16-13-25-20-6-4-3-5-18(16)20/h3-10,13,21,25H,11-12H2,1-2H3,(H,26,29)(H,27,28)(H,30,31)/t21-/m0/s1	F13	100	B4	Peptide01
P2196138		C20H25ClN4O3S2	469.02825	7	2	3.7	11	2	143.8	5-chloro-N-[1-[(2-methoxyphenyl)carbamoyl]-3-methylsulfanyl-propyl]-2-propylsulfanyl-pyrimidine-4-carboxamide		VSXZBFZLPFFRFF-UHFFFAOYSA-N	CCCSc1ncc(Cl)c(n1)C(=O)NC(CCSC)C(=O)Nc2ccccc2OC	466	InChI=1S/C20H25ClN4O3S2/c1-4-10-30-20-22-12-13(21)17(25-20)19(27)24-15(9-11-29-3)18(26)23-14-7-5-6-8-16(14)28-2/h5-8,12,15H,4,9-11H2,1-3H3,(H,23,26)(H,24,27)	F14	100	B4	Peptide01
P7006196		C16H12N2O3	280.28564	3	1	2.8	4	3	78.4	5-phenoxy-2-phenyl-oxazole-4-carboxamide		CGXIKLDMTXDMEW-UHFFFAOYSA-N	NC(=O)c1nc(oc1Oc2ccccc2)c3ccccc3	554	InChI=1S/C16H12N2O3/c17-14(19)13-16(20-12-9-5-2-6-10-12)21-15(18-13)11-7-3-1-4-8-11/h1-10H,(H2,17,19)	F15	100	B4	Peptide01
P1309974		C26H26N2O4	430.50812	4	1	4.5	8	4	63.8	N-[1H-indol-3-yl-(4-methoxyphenyl)methyl]-2-(4-methoxyphenoxy)-N-methyl-acetamide		WJIBGQGZUDPSIU-UHFFFAOYSA-N	COc1ccc(OCC(=O)N(C)C(c2ccc(OC)cc2)c3c[nH]c4ccccc34)cc1	642	InChI=1S/C26H26N2O4/c1-28(25(29)17-32-21-14-12-20(31-3)13-15-21)26(18-8-10-19(30-2)11-9-18)23-16-27-24-7-5-4-6-22(23)24/h4-16,26-27H,17H2,1-3H3	F16	100	B4	Peptide01
P3462485		C26H24N2O4	428.49218	4	1	3.5	8	4	75.7	methyl rac-(2S)-3-phenyl-2-[[rac-(2S)-2-(1-oxoisoindolin-2-yl)-2-phenyl-acetyl]amino]propanoate		ZFICSVLOYBUBPD-GOTSBHOMSA-N	COC(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H](N2Cc3ccccc3C2=O)c4ccccc4	386	InChI=1S/C26H24N2O4/c1-32-26(31)22(16-18-10-4-2-5-11-18)27-24(29)23(19-12-6-3-7-13-19)28-17-20-14-8-9-15-21(20)25(28)30/h2-15,22-23H,16-17H2,1H3,(H,27,29)/t22-,23-/m0/s1	F17	100	B4	Peptide01
P2195697		C19H19FN2O4	358.37268	4	2	2.1	8	2	84.5	methyl 2-[[2-[(4-fluorobenzoyl)amino]acetyl]amino]-3-phenyl-propanoate		BKLJGPLPKNUPOF-UHFFFAOYSA-N	COC(=O)C(Cc1ccccc1)NC(=O)CNC(=O)c2ccc(F)cc2	474	InChI=1S/C19H19FN2O4/c1-26-19(25)16(11-13-5-3-2-4-6-13)22-17(23)12-21-18(24)14-7-9-15(20)10-8-14/h2-10,16H,11-12H2,1H3,(H,21,24)(H,22,23)	F18	100	B5	Peptide01
P2189666		C27H31NO6	465.55122	6	1	4.6	11	3	77.5	N-[2-hydroxy-3-(4-methoxyphenoxy)propyl]-4-isopropoxy-N-(4-methoxyphenyl)benzamide		KJNTYMXXXGWGAR-UHFFFAOYSA-N	COc1ccc(OCC(O)CN(C(=O)c2ccc(OC(C)C)cc2)c3ccc(OC)cc3)cc1	562	InChI=1S/C27H31NO6/c1-19(2)34-26-9-5-20(6-10-26)27(30)28(21-7-11-23(31-3)12-8-21)17-22(29)18-33-25-15-13-24(32-4)14-16-25/h5-16,19,22,29H,17-18H2,1-4H3	F19	100	B5	Peptide01
P1301238		C27H28N2O4	444.53521	4	2	4.9	9	4	72.6	N-[2-(4-ethoxy-3-methoxy-phenyl)-2-(1H-indol-3-yl)ethyl]-4-methoxy-benzamide		MIYROIRQNGWDAS-UHFFFAOYSA-N	CCOc1ccc(cc1OC)C(CNC(=O)c2ccc(OC)cc2)c3c[nH]c4ccccc34	650	InChI=1S/C27H28N2O4/c1-4-33-25-14-11-19(15-26(25)32-3)22(23-17-28-24-8-6-5-7-21(23)24)16-29-27(30)18-9-12-20(31-2)13-10-18/h5-15,17,22,28H,4,16H2,1-3H3,(H,29,30)	F20	100	B5	Peptide01
P6236298		C23H23N3O4	405.45746	4	3	3.4	8	4	96.4	rac-(2S)-3-(1H-indol-3-yl)-2-[3-(5-methoxyindol-1-yl)propanoylamino]propanoic acid		OXCSPHWGLNUPJC-FQEVSTJZSA-N	COc1ccc2c(ccn2CCC(=O)N[C@@H](Cc3c[nH]c4ccccc34)C(=O)O)c1	394	InChI=1S/C23H23N3O4/c1-30-17-6-7-21-15(12-17)8-10-26(21)11-9-22(27)25-20(23(28)29)13-16-14-24-19-5-3-2-4-18(16)19/h2-8,10,12,14,20,24H,9,11,13H2,1H3,(H,25,27)(H,28,29)/t20-/m0/s1	F21	100	B5	Peptide01
P2195234		C22H26N2O4	382.46352	4	2	2.9	10	2	84.5	methyl 4-[[2-[(4-methylbenzoyl)amino]-3-phenyl-propanoyl]amino]butanoate		LSSSDRXEZITOCC-UHFFFAOYSA-N	COC(=O)CCCNC(=O)C(Cc1ccccc1)NC(=O)c2ccc(C)cc2	482	InChI=1S/C22H26N2O4/c1-16-10-12-18(13-11-16)21(26)24-19(15-17-7-4-3-5-8-17)22(27)23-14-6-9-20(25)28-2/h3-5,7-8,10-13,19H,6,9,14-15H2,1-2H3,(H,23,27)(H,24,26)	F22	100	B5	Peptide01
P2190593		C26H26N2O4	430.50812	4	1	4.7	7	4	63.8	N-[1H-indol-3-yl(phenyl)methyl]-3,4,5-trimethoxy-N-methyl-benzamide		YZTMJBUZQSBLSW-UHFFFAOYSA-N	COc1cc(cc(OC)c1OC)C(=O)N(C)C(c2ccccc2)c3c[nH]c4ccccc34	570	InChI=1S/C26H26N2O4/c1-28(26(29)18-14-22(30-2)25(32-4)23(15-18)31-3)24(17-10-6-5-7-11-17)20-16-27-21-13-9-8-12-19(20)21/h5-16,24,27H,1-4H3	F23	100	B5	Peptide01
P1307913		C26H26N2O3	414.50872	3	1	4.9	8	4	54.6	N-ethyl-N-[1H-indol-3-yl-(4-methoxyphenyl)methyl]-2-phenoxy-acetamide		LQGXLJLESWOCEQ-UHFFFAOYSA-N	CCN(C(c1ccc(OC)cc1)c2c[nH]c3ccccc23)C(=O)COc4ccccc4	658	InChI=1S/C26H26N2O3/c1-3-28(25(29)18-31-21-9-5-4-6-10-21)26(19-13-15-20(30-2)16-14-19)23-17-27-24-12-8-7-11-22(23)24/h4-17,26-27H,3,18H2,1-2H3	F24	100	B5	Peptide01
P3458833		C20H18N6O3	390.40486	6	2	2.0	7	4	114.8	methyl rac-(2S)-3-(1H-indol-3-yl)-2-[[4-(tetrazol-1-yl)benzoyl]amino]propanoate		CVQCXSOEPBUNDY-SFHVURJKSA-N	COC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)c3ccc(cc3)n4cnnn4	402	InChI=1S/C20H18N6O3/c1-29-20(28)18(10-14-11-21-17-5-3-2-4-16(14)17)23-19(27)13-6-8-15(9-7-13)26-12-22-24-25-26/h2-9,11-12,18,21H,10H2,1H3,(H,23,27)/t18-/m0/s1	F25	100	B5	Peptide01
P2195185		C24H24N2O3	388.47048	3	2	4.2	7	3	67.4	N-[1-benzyl-2-(4-methoxyanilino)-2-oxo-ethyl]-4-methyl-benzamide		KPMSSDVZXYXWKK-UHFFFAOYSA-N	COc1ccc(NC(=O)C(Cc2ccccc2)NC(=O)c3ccc(C)cc3)cc1	490	InChI=1S/C24H24N2O3/c1-17-8-10-19(11-9-17)23(27)26-22(16-18-6-4-3-5-7-18)24(28)25-20-12-14-21(29-2)15-13-20/h3-15,22H,16H2,1-2H3,(H,25,28)(H,26,27)	F26	100	B6	Peptide01
P1307060		C22H20N2O2S	376.4809	2	1	4.4	6	4	73.6	N-[1H-indol-3-yl(2-thienyl)methyl]-N-methyl-2-phenoxy-acetamide		ITKASEDOQYPROC-UHFFFAOYSA-N	CN(C(c1cccs1)c2c[nH]c3ccccc23)C(=O)COc4ccccc4	578	InChI=1S/C22H20N2O2S/c1-24(21(25)15-26-16-8-3-2-4-9-16)22(20-12-7-13-27-20)18-14-23-19-11-6-5-10-17(18)19/h2-14,22-23H,15H2,1H3	F27	100	B6	Peptide01
P1310234		C26H26N2O3	414.50872	3	1	5.0	7	4	54.6	N-[1H-indol-3-yl-(4-methoxyphenyl)methyl]-N-methyl-2-(4-methylphenoxy)acetamide		RMPRHQBFDTZBCI-UHFFFAOYSA-N	COc1ccc(cc1)C(N(C)C(=O)COc2ccc(C)cc2)c3c[nH]c4ccccc34	666	InChI=1S/C26H26N2O3/c1-18-8-12-21(13-9-18)31-17-25(29)28(2)26(19-10-14-20(30-3)15-11-19)23-16-27-24-7-5-4-6-22(23)24/h4-16,26-27H,17H2,1-3H3	F28	100	B6	Peptide01
P3462468		C19H17FN2O3	340.35734	3	2	3.1	6	3	71.3	rac-(2S)-2-[[2-(6-fluoroindol-1-yl)acetyl]amino]-3-phenyl-propanoic acid		ATKINTXKKGBJRD-INIZCTEOSA-N	OC(=O)[C@H](Cc1ccccc1)NC(=O)Cn2ccc3ccc(F)cc23	410	InChI=1S/C19H17FN2O3/c20-15-7-6-14-8-9-22(17(14)11-15)12-18(23)21-16(19(24)25)10-13-4-2-1-3-5-13/h1-9,11,16H,10,12H2,(H,21,23)(H,24,25)/t16-/m0/s1	F29	100	B6	Peptide01
P2195266		C21H27ClN4O3S	450.99134	6	2	4.4	10	2	118.5	5-chloro-N-[1-[(4-ethoxyphenyl)carbamoyl]-3-methyl-butyl]-2-ethylsulfanyl-pyrimidine-4-carboxamide		RHKSIQREDXACST-UHFFFAOYSA-N	CCOc1ccc(NC(=O)C(CC(C)C)NC(=O)c2nc(SCC)ncc2Cl)cc1	498	InChI=1S/C21H27ClN4O3S/c1-5-29-15-9-7-14(8-10-15)24-19(27)17(11-13(3)4)25-20(28)18-16(22)12-23-21(26-18)30-6-2/h7-10,12-13,17H,5-6,11H2,1-4H3,(H,24,27)(H,25,28)	F30	100	B6	Peptide01
P1305496		C23H19FN2O	358.41908	1	2	4.8	5	4	44.9	4-fluoro-N-[2-(1H-indol-3-yl)-2-phenyl-ethyl]benzamide		RRDHFCQLLKJUHZ-UHFFFAOYSA-N	Fc1ccc(cc1)C(=O)NCC(c2ccccc2)c3c[nH]c4ccccc34	586	InChI=1S/C23H19FN2O/c24-18-12-10-17(11-13-18)23(27)26-14-20(16-6-2-1-3-7-16)21-15-25-22-9-5-4-8-19(21)22/h1-13,15,20,25H,14H2,(H,26,27)	F31	100	B6	Peptide01
P6236886		C19H24N2O3S2	392.54273	5	2	3.4	9	2	132.8	rac-(2S)-2-[[2-[2-(4-isopropylphenyl)thiazol-4-yl]acetyl]amino]-4-methylsulfanyl-butanoic acid		PBDDKNFDOIVISH-INIZCTEOSA-N	CSCC[C@H](NC(=O)Cc1csc(n1)c2ccc(cc2)C(C)C)C(=O)O	674	InChI=1S/C19H24N2O3S2/c1-12(2)13-4-6-14(7-5-13)18-20-15(11-26-18)10-17(22)21-16(19(23)24)8-9-25-3/h4-7,11-12,16H,8-10H2,1-3H3,(H,21,22)(H,23,24)/t16-/m0/s1	F32	100	B6	Peptide01
P3460532		C25H20N4O	392.46435	3	2	4.2	5	5	70.7	N-[2-(1H-indol-3-yl)ethyl]-2-(4-pyridyl)quinoline-4-carboxamide		ITBGVAOKFFAONE-UHFFFAOYSA-N	O=C(NCCc1c[nH]c2ccccc12)c3cc(nc4ccccc34)c5ccncc5	418	InChI=1S/C25H20N4O/c30-25(27-14-11-18-16-28-22-7-3-1-5-19(18)22)21-15-24(17-9-12-26-13-10-17)29-23-8-4-2-6-20(21)23/h1-10,12-13,15-16,28H,11,14H2,(H,27,30)	F33	100	B6	Peptide01
P2194583		C15H19N3O6S	369.39918	7	3	0.5	10	1	166.6	4-methylsulfanyl-2-[3-[(4-nitrobenzoyl)amino]propanoylamino]butanoic acid		YITUXOYQSKMYPA-UHFFFAOYSA-N	CSCCC(NC(=O)CCNC(=O)c1ccc(cc1)[N+](=O)[O-])C(=O)O	506	InChI=1S/C15H19N3O6S/c1-25-9-7-12(15(21)22)17-13(19)6-8-16-14(20)10-2-4-11(5-3-10)18(23)24/h2-5,12H,6-9H2,1H3,(H,16,20)(H,17,19)(H,21,22)	F34	100	B7	Peptide01
P1687048		C23H24N2O2	360.45993	3	0	5.0	7	3	42.4	N-benzyl-4-isobutoxy-N-(2-pyridyl)benzamide		GDGVXBCLMONIQZ-UHFFFAOYSA-N	CC(C)COc1ccc(cc1)C(=O)N(Cc2ccccc2)c3ccccn3	594	InChI=1S/C23H24N2O2/c1-18(2)17-27-21-13-11-20(12-14-21)23(26)25(22-10-6-7-15-24-22)16-19-8-4-3-5-9-19/h3-15,18H,16-17H2,1-2H3	F35	100	B7	Peptide01
P3460042		C23H25NO6	411.4588	6	2	3.5	9	3	101.9	rac-(2S)-4-tert-butoxy-2-(9H-fluoren-9-ylmethoxycarbonylamino)-4-oxo-butanoic acid		FODJWPHPWBKDON-IBGZPJMESA-N	CC(C)(C)OC(=O)C[C@H](NC(=O)OCC1c2ccccc2c3ccccc13)C(=O)O	682	InChI=1S/C23H25NO6/c1-23(2,3)30-20(25)12-19(21(26)27)24-22(28)29-13-18-16-10-6-4-8-14(16)15-9-5-7-11-17(15)18/h4-11,18-19H,12-13H2,1-3H3,(H,24,28)(H,26,27)/t19-/m0/s1	F36	100	B7	Peptide01
P6241986		C18H24N4O5	376.41578	5	4	0.9	10	2	135.7	rac-(2R)-2-[3-(7-methoxyindol-1-yl)propanoylamino]-5-ureido-pentanoic acid		NHUCBOCNPNNQCH-CYBMUJFWSA-N	COc1cccc2ccn(CCC(=O)N[C@H](CCCNC(=O)N)C(=O)O)c12	426	InChI=1S/C18H24N4O5/c1-27-14-6-2-4-12-7-10-22(16(12)14)11-8-15(23)21-13(17(24)25)5-3-9-20-18(19)26/h2,4,6-7,10,13H,3,5,8-9,11H2,1H3,(H,21,23)(H,24,25)(H3,19,20,26)/t13-/m1/s1	F37	100	B7	Peptide01
P1382657		C13H17NO4S	283.34874	5	2	1.3	7	1	100.9	2-[(4-methoxybenzoyl)amino]-4-methylsulfanyl-butanoic acid		MNBUNUWZMJHWFD-UHFFFAOYSA-N	COc1ccc(cc1)C(=O)NC(CCSC)C(=O)O	514	InChI=1S/C13H17NO4S/c1-18-10-5-3-9(4-6-10)12(15)14-11(13(16)17)7-8-19-2/h3-6,11H,7-8H2,1-2H3,(H,14,15)(H,16,17)	F38	100	B7	Peptide01
P1305773		C24H22N2O2	370.45514	2	2	4.4	7	4	54.1	N-[2-(1H-indol-3-yl)-2-phenyl-ethyl]-2-phenoxy-acetamide		UQYWSHOSLKMPHC-UHFFFAOYSA-N	O=C(COc1ccccc1)NCC(c2ccccc2)c3c[nH]c4ccccc34	602	InChI=1S/C24H22N2O2/c27-24(17-28-19-11-5-2-6-12-19)26-15-21(18-9-3-1-4-10-18)22-16-25-23-14-8-7-13-20(22)23/h1-14,16,21,25H,15,17H2,(H,26,27)	F39	100	B7	Peptide01
P6240991		C20H19N3O3S	381.45673	6	2	2.7	7	3	117.5	rac-(2S)-4-methylsulfanyl-2-[[2-(2-pyridyl)quinoline-4-carbonyl]amino]butanoic acid		SHNRCSJIUFQKJY-KRWDZBQOSA-N	CSCC[C@H](NC(=O)c1cc(nc2ccccc12)c3ccccn3)C(=O)O	690	InChI=1S/C20H19N3O3S/c1-27-11-9-17(20(25)26)23-19(24)14-12-18(16-8-4-5-10-21-16)22-15-7-3-2-6-13(14)15/h2-8,10,12,17H,9,11H2,1H3,(H,23,24)(H,25,26)/t17-/m0/s1	F40	100	B7	Peptide01
P6241983		C22H22N2O4	378.43164	4	2	2.9	8	3	88.4	rac-(2S)-2-[3-(3-acetylindol-1-yl)propanoylamino]-3-phenyl-propanoic acid		ZNUSRNITTUOLSF-IBGZPJMESA-N	CC(=O)c1cn(CCC(=O)N[C@@H](Cc2ccccc2)C(=O)O)c3ccccc13	434	InChI=1S/C22H22N2O4/c1-15(25)18-14-24(20-10-6-5-9-17(18)20)12-11-21(26)23-19(22(27)28)13-16-7-3-2-4-8-16/h2-10,14,19H,11-13H2,1H3,(H,23,26)(H,27,28)/t19-/m0/s1	F41	100	B7	Peptide01
P2194195		C19H21ClFN3O3S	425.91292	6	1	4.6	9	2	106.5	methyl 2-[[5-chloro-2-[(4-fluorophenyl)methylsulfanyl]pyrimidine-4-carbonyl]amino]-4-methyl-pentanoate		KXGSRTPKDUFEGG-UHFFFAOYSA-N	COC(=O)C(CC(C)C)NC(=O)c1nc(SCc2ccc(F)cc2)ncc1Cl	522	InChI=1S/C19H21ClFN3O3S/c1-11(2)8-15(18(26)27-3)23-17(25)16-14(20)9-22-19(24-16)28-10-12-4-6-13(21)7-5-12/h4-7,9,11,15H,8,10H2,1-3H3,(H,23,25)	F42	100	B8	Peptide01
P1305410		C25H23FN2O3	418.47206	3	2	4.6	8	4	63.4	2-(4-fluorophenoxy)-N-[2-(1H-indol-3-yl)-2-(4-methoxyphenyl)ethyl]acetamide		WSTNPRBXAYBNJQ-UHFFFAOYSA-N	COc1ccc(cc1)C(CNC(=O)COc2ccc(F)cc2)c3c[nH]c4ccccc34	610	InChI=1S/C25H23FN2O3/c1-30-19-10-6-17(7-11-19)22(23-15-27-24-5-3-2-4-21(23)24)14-28-25(29)16-31-20-12-8-18(26)9-13-20/h2-13,15,22,27H,14,16H2,1H3,(H,28,29)	F43	100	B8	Peptide01
P6240937		C22H24N2O4	380.44758	4	2	3.8	8	3	80.6	rac-(2S)-2-[[2-(6-benzyloxyindol-1-yl)acetyl]amino]-3-methyl-butanoic acid		DPPHJIRUFKAAJM-NRFANRHFSA-N	CC(C)[C@H](NC(=O)Cn1ccc2ccc(OCc3ccccc3)cc12)C(=O)O	698	InChI=1S/C22H24N2O4/c1-15(2)21(22(26)27)23-20(25)13-24-11-10-17-8-9-18(12-19(17)24)28-14-16-6-4-3-5-7-16/h3-12,15,21H,13-14H2,1-2H3,(H,23,25)(H,26,27)/t21-/m0/s1	F44	100	B8	Peptide01
P6240938		C22H24N2O4S	412.51158	5	2	3.2	10	3	105.9	rac-(2S)-2-[[2-(6-benzyloxyindol-1-yl)acetyl]amino]-4-methylsulfanyl-butanoic acid		YXZOWCWVXAKHCF-IBGZPJMESA-N	CSCC[C@H](NC(=O)Cn1ccc2ccc(OCc3ccccc3)cc12)C(=O)O	706	InChI=1S/C22H24N2O4S/c1-29-12-10-19(22(26)27)23-21(25)14-24-11-9-17-7-8-18(13-20(17)24)28-15-16-5-3-2-4-6-16/h2-9,11,13,19H,10,12,14-15H2,1H3,(H,23,25)(H,26,27)/t19-/m0/s1	G1	100	B8	Peptide01
P6241968		C23H26N2O4S	426.53867	5	2	3.5	11	3	105.9	rac-(2S)-2-[3-(6-benzyloxyindol-1-yl)propanoylamino]-4-methylsulfanyl-butanoic acid		MPPJPSAJSNNCAP-FQEVSTJZSA-N	CSCC[C@H](NC(=O)CCn1ccc2ccc(OCc3ccccc3)cc12)C(=O)O	794	InChI=1S/C23H26N2O4S/c1-30-14-11-20(23(27)28)24-22(26)10-13-25-12-9-18-7-8-19(15-21(18)25)29-16-17-5-3-2-4-6-17/h2-9,12,15,20H,10-11,13-14,16H2,1H3,(H,24,26)(H,27,28)/t20-/m0/s1	G2	100	B8	Peptide01
P1159728		C14H17N5O3S	335.38729	7	1	0.4	8	2	124.3	methyl rac-(2S)-4-methylsulfanyl-2-[[3-(tetrazol-1-yl)benzoyl]amino]butanoate		LJVVVTHWNABZAL-LBPRGKRZSA-N	COC(=O)[C@H](CCSC)NC(=O)c1cccc(c1)n2cnnn2	882	InChI=1S/C14H17N5O3S/c1-22-14(21)12(6-7-23-2)16-13(20)10-4-3-5-11(8-10)19-9-15-17-18-19/h3-5,8-9,12H,6-7H2,1-2H3,(H,16,20)/t12-/m0/s1	G3	100	B8	Peptide01
P3460046		C21H23NO4	353.42176	4	2	4.2	7	3	75.6	rac-(2S)-2-(9H-fluoren-9-ylmethoxycarbonylamino)-4-methyl-pentanoic acid		CBPJQFCAFFNICX-IBGZPJMESA-N	CC(C)C[C@H](NC(=O)OCC1c2ccccc2c3ccccc13)C(=O)O	970	InChI=1S/C21H23NO4/c1-13(2)11-19(20(23)24)22-21(25)26-12-18-16-9-5-3-7-14(16)15-8-4-6-10-17(15)18/h3-10,13,18-19H,11-12H2,1-2H3,(H,22,25)(H,23,24)/t19-/m0/s1	G4	100	B8	Peptide01
P6241474		C21H20N2O4S	396.46855	5	2	3.5	7	3	116.8	rac-(2S)-2-[[2-(3-methoxyphenyl)-4-methyl-thiazole-5-carbonyl]amino]-3-phenyl-propanoic acid		LOQFCEXICLTIFK-KRWDZBQOSA-N	COc1cccc(c1)c2nc(C)c(s2)C(=O)N[C@@H](Cc3ccccc3)C(=O)O	714	InChI=1S/C21H20N2O4S/c1-13-18(28-20(22-13)15-9-6-10-16(12-15)27-2)19(24)23-17(21(25)26)11-14-7-4-3-5-8-14/h3-10,12,17H,11H2,1-2H3,(H,23,24)(H,25,26)/t17-/m0/s1	G5	100	B8	Peptide01
P3461931		C21H18FN3O3	379.39431	3	3	3.4	6	4	87.1	rac-(2S)-2-[[2-(6-fluoroindol-1-yl)acetyl]amino]-3-(1H-indol-3-yl)propanoic acid		NJOYIFWCNFBYQS-SFHVURJKSA-N	OC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)Cn3ccc4ccc(F)cc34	802	InChI=1S/C21H18FN3O3/c22-15-6-5-13-7-8-25(19(13)10-15)12-20(26)24-18(21(27)28)9-14-11-23-17-4-2-1-3-16(14)17/h1-8,10-11,18,23H,9,12H2,(H,24,26)(H,27,28)/t18-/m0/s1	G6	100	B9	Peptide01
P3458806		C20H18N6O3	390.40486	6	2	2.0	7	4	114.8	methyl rac-(2S)-3-(1H-indol-3-yl)-2-[[2-(tetrazol-1-yl)benzoyl]amino]propanoate		KGVCSBBXRPOCSZ-KRWDZBQOSA-N	COC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)c3ccccc3n4cnnn4	890	InChI=1S/C20H18N6O3/c1-29-20(28)17(10-13-11-21-16-8-4-2-6-14(13)16)23-19(27)15-7-3-5-9-18(15)26-12-22-24-25-26/h2-9,11-12,17,21H,10H2,1H3,(H,23,27)/t17-/m0/s1	G7	100	B9	Peptide01
P7138763		C14H19NO4	265.31183	4	2	3.0	8	1	75.6	2-(benzyloxycarbonylamino)hexanoic acid		NMYWMOZOCYAHNC-UHFFFAOYSA-N	CCCCC(NC(=O)OCc1ccccc1)C(=O)O	978	InChI=1S/C14H19NO4/c1-2-3-9-12(13(16)17)15-14(18)19-10-11-7-5-4-6-8-11/h4-8,12H,2-3,9-10H2,1H3,(H,15,18)(H,16,17)	G8	100	B9	Peptide01
P6236253		C22H20BrN3O3	454.327	3	3	4.2	7	4	87.1	rac-(2S)-2-[3-(6-bromoindol-1-yl)propanoylamino]-3-(1H-indol-3-yl)propanoic acid		BBGDJRIMHXBWMY-IBGZPJMESA-N	OC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)CCn3ccc4ccc(Br)cc34	722	InChI=1S/C22H20BrN3O3/c23-16-6-5-14-7-9-26(20(14)12-16)10-8-21(27)25-19(22(28)29)11-15-13-24-18-4-2-1-3-17(15)18/h1-7,9,12-13,19,24H,8,10-11H2,(H,25,27)(H,28,29)/t19-/m0/s1	G9	100	B9	Peptide01
